id,title,release_date,poster_path,popularity,overview
846422,The Old Guard 2,2025-07-01,/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg,617.5863,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.
541671,Ballerina,2025-06-04,/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,594.0901,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma."
749170,Heads of State,2025-07-02,/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,514.58,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world."
1011477,Karate Kid: Legends,2025-05-08,/AEgggzRr1vZCLY86MAp93li43z.jpg,532.1165,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown."
1119878,Ice Road: Vengeance,2025-06-27,/2vHQBX5L4yoExTa55KmGIg2Q5s3.jpg,521.0194,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland."
986056,Thunderbolts*,2025-04-30,/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg,427.1211,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts."
1234821,Jurassic World Rebirth,2025-07-01,/q0fGCmjLu42MPlSO9OYWpI5w86I.jpg,387.6663,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades."
574475,Final Destination Bloodlines,2025-05-14,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,256.4563,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all."
1151031,Bring Her Back,2025-05-28,/tObSf1VzzHt9xB0csanFtb3DRjf.jpg,223.8848,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret."
1287536,Dora and the Search for Sol Dorado,2025-07-02,/r3d6u2n7iPoWNsSWwlJJWrDblOH.jpg,239.0733,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands."
1061474,Superman,2025-07-09,/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,226.9138,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent."
552524,Lilo & Stitch,2025-05-17,/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg,224.4734,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.
803796,KPop Demon Hunters,2025-06-20,/43c1efKzA1kigNzY0HBzeoXp8LR.jpg,214.7625,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats."
1246369,Muromachi Burai,2025-01-17,/6U0i0HsSCvhRW4IpGzdead6QRo3.jpg,192.1538,"Set in war-torn 15th century Kyoto, on the eve of the Onin War, the movie centers on a band of outlaws led by Hyoe (Oizumi) a scoundrel whose lethal sword skills place him at the tip of the spear in a deadly uprising against the corrupt Shogunate and its army, led by former friend-turned-archrival, Doken (Tsutsumi)."
1278950,The Ritual,2025-04-18,/ktqPs5QyuF8SpKnipvVHb3fwD8d.jpg,170.0829,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism."
1087192,How to Train Your Dragon,2025-06-06,/3lwlJL8aW6Wor9tKvME8VoMnBkn.jpg,181.5258,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society."
911430,F1,2025-06-25,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg,179.2995,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.
1233413,Sinners,2025-04-16,/yqsCU5XOP2mkbFamzAqbqntmfav.jpg,132.8717,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
7451,xXx,2002-08-09,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,123.3259,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
605722,Long Distance,2024-07-12,/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg,111.9343,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod."
950387,A Minecraft Movie,2025-03-31,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,109.5701,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve."
575265,Mission: Impossible - The Final Reckoning,2025-05-17,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,102.8022,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever."
1100988,28 Years Later,2025-06-18,/wnHUip9oKvDJEJUEk62L4rFSYGa.jpg,102.5134,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well."
1429744,Ziam,2025-07-08,/yHYj2t3NzsjkHVYa0bPri4sMBsg.jpg,100.7696,"In a fight for survival against a horrifying army of zombies, a former Muay Thai fighter must use skill, speed and grit to save his girlfriend."
1311844,The Twisters,2024-06-28,/9xjSHm0R9tII8JCWHS1VdbftFk1.jpg,99.8635,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around."
1442776,Crazy Lizard,2024-03-27,/9TFaFsSXedaALXTzba349euDeoY.jpg,98.4106,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island."
1127110,Diablo,2025-06-13,/uFQduVyYIinJy3eLjozgfl6Xtcn.jpg,94.4175,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word."
1090007,First Shift,2024-08-30,/ajsGI4JYaciPIe3gPgiJ3Vw5Vre.jpg,91.326,"NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds."
1087891,The Amateur,2025-04-09,/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,91.2315,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action."
611251,Jokōsei torio: seikan shiken,1977-02-23,/9GSLrU0aoR6Pi2FQ0ttXV2thSxJ.jpg,88.7371,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?"
1005860,Seeds,2024-10-25,/A0oZJp3CCqKSeNLhkXEtHUqDJmx.jpg,86.9053,A Mohawk woman is hired as a social media influencer but is caught in a deadly cat-and-mouse game as she's forced to go to war to preserve her people's heritage from corporate interests.
1071585,M3GAN 2.0,2025-06-25,/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,84.0364,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal."
1412113,Squid Game: Making Season 2,2025-01-02,/yQGaui0bQ5Ai3KIFBB45nTeIqad.jpg,81.701,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life."
1426776,STRAW,2025-06-05,/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,80.834,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.
1403735,Laila,2025-02-14,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,80.3556,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot"
1195518,The Unholy Trinity,2025-06-13,/gXYYIX5VesrDtR1iYJfvUnJBPLB.jpg,78.1072,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher."
